Filename,Class,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
Image_1,Corroded,74.24595588235294,122.52186082276049,85.32008272058823,137.39684736639754,0.4715924190249843,0.35435857888898126,0.47321973836921905,0.3829122733908013,3.451439950980392,5.0332641291810845,3.823728553921569,4.966766628219916,7.789417372937246,8.206334360916525,7.854809908047358,8.125404820230308,0.000981697220382485,0.000613094570286973,0.0010543258884053008,0.0006878238207556583,0.031332047816612384,0.02476074656158358,0.03247038478991742,0.026226395496820723,0.9844038652622261,0.9741998634586317,0.9819757617490132,0.9710676840763823
Image_2,Corroded,100.92362132352942,209.35450980392153,162.6939031862745,223.93019607843138,0.35527055054588663,0.22722320239435187,0.3065014999102981,0.21746460395756412,5.339001225490196,8.422683583237216,6.96280637254902,8.716724336793542,8.068930660453974,8.550528711293143,8.301951697136,8.5876507539854,0.0008058074399720061,0.00039651150054521644,0.0006417437197382017,0.0003774101020797461,0.02838674761172907,0.019912596529463866,0.02533266112626547,0.01942704563436618,0.97274767639324,0.9433076999571114,0.955855675834583,0.939358892638388
Image_3,Corroded,48.28232230392156,99.8165474817378,74.07279411764705,109.09122645136486,0.38069746815381694,0.2922905093496576,0.3468112257885661,0.2775717544303407,3.8837928921568627,5.7124336793540955,4.763082107843138,6.1527258746635916,8.180207832824838,8.543633559442751,8.345524982575238,8.624440567531085,0.0005085574292714942,0.0003348698139197934,0.00044169307534211606,0.00030852440304434417,0.02255121791104627,0.018299448459442525,0.021016495315397284,0.017564862739126205,0.9922385193479857,0.983947126391798,0.9880773048019782,0.9824556672875026
Image_4,Corroded,187.10413602941176,340.40861207227994,204.47317708333333,288.22211457131874,0.3859531311342194,0.2729635833505109,0.36407130358662,0.2987341221360642,6.26124387254902,8.981038062283737,6.48938419117647,8.351449442522107,8.245433502665705,8.640843326983497,8.313030704296718,8.578839355902481,0.0009478215353620002,0.0005432160256583655,0.0007568683206278836,0.0005374731068596483,0.030786710369281097,0.023306995208700016,0.02751123989622939,0.023183466239103424,0.9720909792429252,0.9491720126515114,0.9694866804409682,0.9569647233616355
Image_5,Corroded,48.460677083333344,116.49162629757787,74.94972426470588,85.95594002306805,0.49135750561072006,0.4289188058676326,0.47709152595165444,0.3720264181677182,3.253354779411765,4.935916955017301,3.8765625,4.726228373702421,7.504458496493601,7.799254151674346,7.590224927982655,7.8940277546251,0.00204128043920157,0.0016285318943221347,0.0019545790728400735,0.0013206402588777475,0.04518053163920905,0.04035507272106116,0.04421062171967358,0.03634061445377262,0.9935987165362428,0.9846005201842509,0.9901094232626491,0.9886374056205433
Image_6,Corroded,16.17904411764706,47.45048827374087,28.49943321078431,29.535824682814305,0.5664054963196568,0.476518314938047,0.5317706884940118,0.4511913920360313,1.814920343137255,2.919430988081507,2.2751072303921567,2.6806766628219916,6.848588320898035,7.200559663443655,6.999853450944649,7.230715496614083,0.0026385002913542873,0.001919178218060335,0.0022954454022341164,0.0017406640837426708,0.0513663342214946,0.043808426336269315,0.047910806737458685,0.04172126656445931,0.9957263747545363,0.9873762887383991,0.9924091998218635,0.9921423432558392
Image_7,Corroded,95.43952205882356,203.37750096116878,151.6994944852941,193.3454517493272,0.3918119837095464,0.25263895760292365,0.32737077718898117,0.2718777550374772,5.017432598039218,7.842645136485966,6.3448376225490195,7.619069588619762,8.165527844663263,8.670555402087063,8.406826965450662,8.608041016013601,0.0007596457604947619,0.00036602383284694705,0.0005306334534043398,0.0003961909187916219,0.02756167194665015,0.019131749341002435,0.02303548248690137,0.019904545179220298,0.9814673632830871,0.960592438356505,0.9706246342224193,0.9625371317301596
Image_8,Corroded,209.91602328431372,296.62314494425226,177.14471507352945,329.9440676662822,0.4165455591876333,0.34027540926886163,0.4279214748026381,0.3138959591530003,6.307199754901962,8.11755478662053,5.732705269607844,8.701407151095733,8.252818046205624,8.542870692459402,8.179283714579425,8.634344516545207,0.0006809527651248921,0.0004972965622159638,0.000746534465597667,0.00043089498745122276,0.02609507166353241,0.022300147134401687,0.027322782903607512,0.020758010199708996,0.9684466619063054,0.9552204473341592,0.973231588038354,0.9501908902404432
Image_9,Corroded,51.26020220588236,140.53254901960784,101.03106617647062,118.44424452133796,0.42477099551752673,0.3012138722043203,0.36760415800644686,0.33435875511461577,3.6345894607843143,6.265144175317185,5.021476715686275,5.656239907727796,7.91449085070409,8.441737732190424,8.191447007731458,8.322517953564386,0.0007559978480707543,0.00042024945009024836,0.0005766044713496614,0.0005043870832514807,0.027495415037252197,0.020499986587562646,0.024012589850944056,0.02245856369520279,0.9886843293270605,0.9690221077235047,0.9777162103812708,0.9738912988085251
Image_10,Corroded,202.23386948529412,334.9954632833525,198.49499080882353,341.7931872356786,0.3352925196322172,0.24356095695204238,0.34442619619129017,0.24683597618860403,7.080438112745098,9.885890042291425,7.0097579656862745,9.929381007304883,8.520494500445828,8.895696079569692,8.494151124915698,8.883390418329581,0.0004474054121686972,0.00026821896348682014,0.00048103282654207523,0.0002751634430373909,0.021151960007732076,0.016377391840180784,0.021932460567434635,0.016588051212767307,0.9619905426172155,0.9369097837435119,0.9625512022482668,0.9356296126597025
